ID,NM_DISTRITO,LONG,LAT,ID_ADJS
1706,SANTANA DO ARAGUAIA,-50.344804321129,-9.329424525,[]
1711,SANTARÉM,-54.7185701672711,-2.43621332999996,[]
1736,SANTARÉM NOVO,-47.400924744868,-0.928719535783208,[]
1740,SANTO ANTÔNIO DO TAUÁ,-48.1324330748457,-1.1516925,[]
1746,SÃO CAETANO DE ODIVELAS,-48.0258054980831,-0.746617759994861,[]
1752,SÃO DOMINGOS DO ARAGUAIA,-48.7203734107844,-5.549841,[]
1758,SÃO DOMINGOS DO CAPIM,-47.7747845692257,-1.6758145,[]
1760,SÃO FÉLIX DO XINGU,-51.9937825239643,-6.64248327834078,[]
1770,SÃO FRANCISCO DO PARÁ,-47.7905146107051,-1.17018878467698,[]
1774,SÃO GERALDO DO ARAGUAIA,-48.5557124861926,-6.39895797,[]
1782,SÃO JOÃO DA PONTA,-47.9207241656462,-0.851002145269607,[]
1785,SÃO JOÃO DE PIRABAS,-47.1726742979205,-0.766442531515371,[]
1792,SÃO JOÃO DO ARAGUAIA,-48.7886334020461,-5.35900272441641,[]
1799,SÃO MIGUEL DO GUAMÁ,-47.4824089444892,-1.61713591449048,[]
1801,SÃO SEBASTIÃO DA BOA VISTA,-49.5323121746161,-1.7188505,[]
1802,SAPUCAIA,-49.7035807118843,-6.94285711257384,[]
1803,SENADOR JOSÉ PORFÍRIO,-51.9530564180171,-2.59485041832352,[]
1845,TUCURUÍ,-49.6671843672248,-3.76688908431164,[]
1846,ULIANÓPOLIS,-47.5031447549992,-3.75719301,[]
1848,URUARÁ,-53.7370310504594,-3.7065285,[]
1855,VIGIA,-48.1414985852069,-0.855532573667763,[]
1864,VISEU,-46.1387652161496,-1.20327852667727,[]
1888,VITÓRIA DO XINGU,-52.0112603538154,-2.8837657102288,[]
1892,XINGUARA,-49.9427005843752,-7.10151282714604,[]
1897,SERRA DO NAVIO,-52.0035384352918,0.897841040971924,[]
1900,AMAPÁ,-50.7932144702699,2.05392124468205,[]
1902,PEDRA BRANCA DO AMAPARÍ,-51.9465942732743,0.776882860563944,[]
1909,CALÇOENE,-50.9447727342665,2.49655904456698,[]
1914,CUTIAS,-50.8016260298776,0.97107805541715,[]
1916,FERREIRA GOMES,-51.1874290460046,0.853977393142956,[]
1918,ITAUBAL,-50.7001794374183,0.600653288304609,[]
1921,LARANJAL DO JARI,-52.5390207369393,-0.8556645,[]
1923,MACAPÁ,-51.057405457036,0.03895101,[]
2414,ALDEIAS ALTAS,-43.4687348529398,-4.63077949515206,[]
2417,ALTAMIRA DO MARANHÃO,-45.4646758311604,-4.16226926685315,[]
2429,ALTO ALEGRE DO MARANHÃO,-44.4482474945232,-4.207227,[]
2431,ALTO ALEGRE DO PINDARÉ,-45.8420796161705,-3.66517037445328,[]
1943,MAZAGÃO,-51.2860768561013,-0.124396328821101,[]
1946,OIAPOQUE,-51.8305525552731,3.85113073255929,[]
1964,PORTO GRANDE,-51.4144488229915,0.712554701824323,[]
1966,PRACUÚBA,-50.7842537212883,1.74250848707834,[]
1969,SANTANA,-51.1728464650687,-0.0383734790956603,[]
1975,TARTARUGALZINHO,-50.9127861523142,1.50984824031107,[]
1980,VITÓRIA DO JARI,-52.4196147795718,-0.918977088542799,[]
1982,ABREULÂNDIA,-49.1624375554797,-9.62179071199836,[]
1983,AGUIARNÓPOLIS,-47.470456587945,-6.5471708206181,[]
1985,ALIANÇA DO TOCANTINS,-48.9412400221409,-11.3037430465089,[]
1986,ALMAS,-47.1741716842358,-11.5745234694478,[]
1987,ALVORADA,-49.12681140673,-12.4788153208227,[]
1988,ANANÁS,-48.0797646061948,-6.36281815410008,[]
1991,ANGICO,-47.8620778391735,-6.3877527497248,[]
1994,APARECIDA DO RIO NEGRO,-47.9766700113511,-9.9558777145605,[]
1995,ARAGOMINAS,-48.5234301922917,-7.1643492714437,[]
2003,ARAGUACEMA,-49.5618126396073,-8.80180254411115,[]
2006,ARAGUAÇU,-49.8286124432782,-12.9255837118616,[]
2009,ARAGUAÍNA,-48.2087052518558,-7.19132893965496,[]
2011,ARAGUANÃ,-48.6437495469431,-6.58224942002919,[]
2014,ARAGUATINS,-48.1235073430294,-5.65058647299995,[]
2028,ARAPOEMA,-49.0756373852721,-7.65256973541903,[]
2029,ARRAIAS,-46.9461070585534,-12.9344198592593,[]
2031,AUGUSTINÓPOLIS,-47.8809567910047,-5.46541429589652,[]
2035,AURORA DO TOCANTINS,-46.4070829808607,-12.7084898610615,[]
2036,AXIXÁ DO TOCANTINS,-47.7741560325221,-5.62430906592745,[]
